user_id,Classic White Tee,Galaxy S24 Ultra,Leather Jacket,MacBook Air M3,Pixel 8 Pro,ROG Zephyrus G14,Running Shoes,Slim Fit Jeans,ThinkPad X1 Carbon,XPS 15,Xiaomi 14,iPhone 15 Pro
176,0,0,1,0,3,0,0,0,0,0,0,2
177,3,3,0,1,1,0,0,0,2,0,0,0
178,0,0,1,0,2,0,0,0,0,0,0,0
179,3,1,0,0,0,4,0,1,0,0,0,2
180,3,0,0,0,1,1,5,0,0,0,3,0
181,1,0,0,2,0,0,0,0,0,0,0,2
182,0,0,4,0,0,0,0,0,0,0,0,0
183,3,0,0,0,2,0,0,0,1,1,2,2
184,4,0,0,1,0,0,0,0,0,0,0,2
185,0,0,0,0,0,0,0,0,0,3,0,0
186,0,0,0,0,2,0,0,0,0,0,4,0
187,0,0,0,3,1,0,0,4,0,0,3,3
188,0,2,2,0,1,2,0,0,0,3,0,5
189,0,0,0,0,0,0,1,0,0,0,3,0
190,0,2,0,0,1,2,4,0,0,0,0,2
191,0,0,5,0,0,0,0,2,0,0,0,3
192,0,2,0,0,0,2,2,0,0,0,3,0
193,0,0,1,3,2,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,3,1
195,0,0,0,3,1,0,0,0,0,0,0,0
196,8,1,0,3,0,0,0,0,0,0,0,0
197,0,0,3,0,0,0,1,0,0,0,0,0
198,0,2,3,0,0,0,0,0,0,1,2,0
199,2,0,0,0,0,0,0,0,0,2,3,0
200,0,0,2,1,0,2,0,0,0,2,0,0
